"term","estimate","std.error","statistic","p.value","conf.low","conf.high","OR","CI_low","CI_high","gene","bonferroni_corrected"
"qacG1",3.50941096558264,1.24010067547315,2.82994037096517,0.00465566802226071,1.13565179561776,6.59614358895245,33.4285714045114,3.11320205320172,732.265819146735,"86",0.572647166738068
"sec11",3.50941096558263,1.24010067547315,2.82994037096516,0.0046556680222608,1.13565179561771,6.59614358895245,33.428571404511,3.11320205320158,732.265819146737,"106",0.572647166738079
"sel271",3.25595749847784,0.934082339207164,3.48572857211009,0.000490798723786337,1.42019802202833,5.31475641686115,25.9444444108492,4.13793976235165,203.314982995006,"83",0.0603682430257195
"sel281",3.25595749847784,0.934082339207164,3.48572857211009,0.000490798723786337,1.42019802202833,5.31475641686115,25.9444444108492,4.13793976235165,203.314982995006,"84",0.0603682430257195
"erm.T.1",2.88394086530955,0.735261515726648,3.92233348764269,8.76954971314286e-05,1.39369192137928,4.37703513818706,17.884615344262,4.02969995921524,79.6016752264309,"80",0.0107865461471657
"erm.B.1",2.78117246554518,1.42710145207127,1.9488260358145,0.0513162033937417,-0.465838185488129,6.0285213233855,16.1379310282536,0.627608832047953,415.100775543059,"82",1
"sey1",2.55851846592705,0.788998791825236,3.24274066378262,0.00118385916641583,0.89391517720833,4.11863741462309,12.9166666511125,2.44468230336036,61.4754196618007,"85",0.145614677469147
"tet.M.1",2.3175107090555,0.462137997470141,5.0147590584244,5.3099964297804e-07,1.37954334575805,3.20988180044815,10.1503755931613,3.9730868861914,24.7761575207898,"68",6.5312956086299e-05
"dfrG1",2.29165601159742,0.509858192877232,4.49469292366401,6.96704135416933e-06,1.24407296905502,3.2704446791272,9.89130424036261,3.46971677314335,26.3230420484622,"72",0.000856946086562828
"str1",2.08588624675111,1.23960604561129,1.68270093078038,0.0924330014686883,-0.999919025470175,4.45965650833754,8.05172413494092,0.367909231242326,86.4578064596442,"104",1
"mco1",1.74669552420773,0.411271076638544,4.24706628650877,2.16587895069371e-05,0.913938274024021,2.54089761478441,5.73561811505501,2.49412576752584,12.6910575405709,"69",0.00266403110935326
"tet.K.1",1.23948843602564,0.583683802829229,2.1235614728687,0.0337068300444302,-0.0476239274565654,2.29835868537397,3.45384614949076,0.953492301934616,9.95782511071509,"67",1
"lnu.A.1",0.978671754554124,1.0969541399521,0.892171986877101,0.372300754705961,-1.9770839501414,2.79128189581292,2.66091953938483,0.138472441687147,16.301903755569,"61",1
"hld1",0.938773899459386,1.03106810468906,0.910486800231782,0.36256583984877,-0.647221050405203,3.83243539895626,2.55684454718098,0.523498533294485,46.1748556050422,"37",1
"lmrS1",0.849599357340607,1.03215792690112,0.823129227802748,0.410434509423388,-0.739926631085257,3.74428709801892,2.33870967733779,0.477148922135408,42.2788557925568,"38",1
"sel1",0.582038251618359,0.770380526219936,0.755520462691697,0.449936759168162,-1.2877677311399,1.89209662239997,1.78968253901517,0.275885947838046,6.63326155666133,"76",1
"aadD11",0.533076231694477,0.476909956249827,1.11777123691506,0.263664708986421,-0.492169751250292,1.40953764012183,1.70416666495171,0.611298588324807,4.09406203637191,"2",1
"splE1",0.48249510944638,0.377306067542454,1.27878969079152,0.200971125218499,-0.263946303959139,1.22910102854793,1.62011171937943,0.768014777902427,3.41815533062417,"55",1
"erm.C.1",0.416972714552781,0.635537224402291,0.656094873034282,0.511763083019771,-1.05154002415832,1.52674965780324,1.51736111049375,0.34939925127988,4.60319053577572,"27",1
"sel261",0.300245050835064,0.412778919467237,0.727374961935027,0.466996288307115,-0.556911339007381,1.08073328590195,1.35018963213678,0.57297606242801,2.94683963494883,"71",1
"blaZ1",0.112208622613064,0.377432172443777,0.297294801040785,0.766241450483648,-0.629187680628048,0.864527281596518,1.11874623206321,0.533024611410536,2.3738836422127,"36",1
"seh1",-0.0239924266251014,1.04841017840167,-0.0228845800235157,0.981742340534244,-2.93410521818148,1.61934611021439,0.976293103563595,0.0531782809835277,5.04978723246426,"56",1
"qacC1",-0.086826993449099,1.04664899952399,-0.0829571264947346,0.933885630156595,-2.99529767258642,1.55063634117352,0.916835700495202,0.0500217347710129,4.71446923916611,"53",1
"(Intercept)",-0.470003629245735,0.232737334062816,-2.01945953853231,0.0434394786747904,-0.936238405995883,-0.0198794818174797,0.625,0.392099985762052,0.98031681218817,"28",1
"selX1",-0.477855602240301,0.402242321211055,-1.18797942693248,0.234841515106368,-1.24502662065586,0.349172725091232,0.620111733262465,0.287933243056973,1.41789407507598,"14",1
"aac.6...Ie.aph.2....Ia1",-0.502826621084435,0.44255954734917,-1.13617845123046,0.255881887117468,-1.4454425181171,0.316395787211369,0.60481864810547,0.235641777724716,1.37217323678536,"54",1
"(Intercept)",-0.550046336919276,0.229268625337404,-2.39913479705214,0.0164338637330935,-1.01043530359966,-0.107829574850571,0.576923076923075,0.364060468241432,0.897780587784105,"29",1
"tst1",-0.599762855948663,0.746084544045488,-0.803880553129507,0.421465962165382,-2.44051876914144,0.640722355786697,0.548941798941893,0.0871156468282992,1.89785130815149,"49",1
"ant.6..Ia1",-1.07237005257959,0.499156511494146,-2.14836434642437,0.0316848228181401,-2.17266133577065,-0.174183780929986,0.342196531801568,0.11387415591965,0.840142481302941,"46",1
"blaI1",-1.08822255384907,0.391297778986833,-2.78105987891562,0.00541817424658941,-1.84657863470532,-0.298035247356082,0.336814631841037,0.157776053436665,0.742275176049236,"34",0.666435432330498
"splB1",-1.1610910397897,0.39216932770174,-2.96068804410107,0.00306952674600693,-1.92126001862809,-0.369365650464253,0.313144341499836,0.146422350958241,0.691172636644227,"18",0.377551789758852
"lukE1",-1.1912337387886,0.392550087526043,-3.03460316693872,0.00240852364528446,-1.95219578094229,-0.39883705534037,0.303846165927048,0.141962011624582,0.671100044613101,"21",0.296248408369989
"cna1",-1.24144790520126,1.02797177154964,-1.2076673110681,0.227175256616598,-4.13223448053047,0.334714044790205,0.288965520215188,0.0160469820632261,1.39754069403594,"70",1
